"Test","Category","Priority","Expected","Actual","Status","Notes"
"Soft Delete Required","Vault","CRITICAL","Blocked","Blocked","✅ PASS","Policy blocked vault without soft delete"
"Purge Protection","Vault","CRITICAL","Blocked","Blocked","✅ PASS","Policy blocked vault without purge protection"
"Public Access Disabled","Vault","HIGH","Blocked","Blocked","✅ PASS","Policy blocked public vault"
"Firewall Required","Vault","HIGH","Blocked","Blocked","✅ PASS","Policy blocked vault without firewall"
"RBAC Required","Vault","HIGH","Blocked","Blocked","✅ PASS","Policy blocked Access Policies vault"
"Private Link Required","Vault","HIGH","Blocked","Requires VNet","⚠️ SKIP","Private link testing requires VNet infrastructure (not in test scope)"
"Keys Expiration Required","Key","HIGH","Blocked","Blocked","✅ PASS","Policy blocked key without expiration"
"Keys Max Validity 365 Days","Key","HIGH","Blocked","Blocked","✅ PASS","Policy blocked key >365 days validity"
"Keys Min 90 Days Before Exp","Key","HIGH","Blocked","Blocked","✅ PASS","Policy blocked key <90 days before expiration"
"Keys Not Active >365 Days","Key","HIGH","Blocked","Blocked","✅ PASS","Policy blocked key active >365 days"
"Keys Type RSA/EC","Key","MEDIUM","Created","Blocked","❌ FAIL","EC type blocked (should be allowed)"
"Keys RSA Min 2048-bit","Key","MEDIUM","Blocked","Blocked","✅ PASS","Policy blocked RSA <2048-bit"
"Keys EC Curve Names","Key","MEDIUM","Created","Blocked","❌ FAIL","P-256 blocked (should be allowed)"
"Keys HSM-Backed","Key","MEDIUM","Blocked","Requires Premium","⚠️ SKIP","HSM testing requires premium vault tier (expensive)"
"Managed HSM Keys Policy 1","Managed HSM Key","LOW","Blocked","Requires Managed HSM","⚠️ SKIP","Managed HSM testing requires dedicated HSM resource (expensive)"
"Managed HSM Keys Policy 2","Managed HSM Key","LOW","Blocked","Requires Managed HSM","⚠️ SKIP","Managed HSM testing requires dedicated HSM resource (expensive)"
"Managed HSM Keys Policy 3","Managed HSM Key","LOW","Blocked","Requires Managed HSM","⚠️ SKIP","Managed HSM testing requires dedicated HSM resource (expensive)"
"Managed HSM Keys Policy 4","Managed HSM Key","LOW","Blocked","Requires Managed HSM","⚠️ SKIP","Managed HSM testing requires dedicated HSM resource (expensive)"
"Managed HSM Keys Policy 5","Managed HSM Key","LOW","Blocked","Requires Managed HSM","⚠️ SKIP","Managed HSM testing requires dedicated HSM resource (expensive)"
"Secrets Expiration Required","Secret","HIGH","Blocked","Blocked","✅ PASS","Policy blocked secret without expiration"
"Secrets Max Validity 365 Days","Secret","HIGH","Blocked","Blocked","✅ PASS","Policy blocked secret >365 days"
"Secrets Min 90 Days Before Exp","Secret","HIGH","Blocked","Blocked","✅ PASS","Policy blocked secret <90 days before expiration"
"Secrets Not Active >365 Days","Secret","HIGH","Blocked","Blocked","✅ PASS","Policy blocked secret active >365 days"
"Secrets Content Type Set","Secret","MEDIUM","Blocked","Blocked","✅ PASS","Policy blocked secret without content type"
"Managed HSM Secrets Policy 1","Managed HSM Secret","LOW","Blocked","Requires Managed HSM","⚠️ SKIP","Managed HSM testing requires dedicated HSM resource (expensive)"
"Managed HSM Secrets Policy 2","Managed HSM Secret","LOW","Blocked","Requires Managed HSM","⚠️ SKIP","Managed HSM testing requires dedicated HSM resource (expensive)"
"Certs Expiration Required","Certificate","MEDIUM","Blocked","Enforced by API","✅ PASS","Azure API enforces cert expiration (cannot create without)"
"Certs Max Validity 12 Months","Certificate","MEDIUM","Blocked","Blocked","✅ PASS","Policy blocked cert >12 months"
"Certs Min 30 Days Before Exp","Certificate","MEDIUM","Blocked","Blocked","✅ PASS","Policy blocked cert <30 days renewal"
"Certs Lifetime Actions","Certificate","MEDIUM","Blocked","Complex Policy","⚠️ SKIP","Lifetime action testing requires complex cert policy setup"
"Certs Type RSA/EC","Certificate","MEDIUM","Created","Blocked","❌ FAIL","EC cert blocked (should be allowed)"
"Certs RSA Min 4096-bit","Certificate","MEDIUM","Blocked","Blocked","✅ PASS","Policy blocked RSA <4096-bit"
"Certs EC Curve Names","Certificate","MEDIUM","Created","Blocked","❌ FAIL","P-256 blocked (should be allowed)"
"Certs Integrated CA","Certificate","MEDIUM","Blocked","Requires CA Setup","⚠️ SKIP","Integrated CA testing requires DigiCert/GlobalSign setup (expensive)"
