"Test","Category","Priority","Expected","Actual","Status","Notes"
"Soft Delete Required","Vault","CRITICAL","Blocked","Blocked","✅ PASS","Policy blocked vault without soft delete"
"Purge Protection","Vault","CRITICAL","Blocked","Blocked","✅ PASS","Policy blocked vault without purge protection"
"Public Access Disabled","Vault","HIGH","Blocked","Blocked","✅ PASS","Policy blocked public vault"
"Firewall Required","Vault","HIGH","Blocked","Blocked","✅ PASS","Policy blocked vault without firewall"
"RBAC Required","Vault","HIGH","Blocked","Blocked","✅ PASS","Policy blocked Access Policies vault"
"Private Link Required","Vault","HIGH","Blocked","Requires VNet","⚠️ SKIP","Private link testing requires VNet infrastructure (not in test scope)"
"Keys Expiration Required","Key","HIGH","Blocked","Created","❌ FAIL","Key without expiration created"
"Keys Max Validity 365 Days","Key","HIGH","Blocked","Created (400 days)","❌ FAIL","Key with 400-day validity created"
"Keys Min 90 Days Before Exp","Key","HIGH","Blocked","Created (30 days)","❌ FAIL","Key expiring in <90 days created"
"Keys Not Active >365 Days","Key","HIGH","Blocked","Created (400 days active)","❌ FAIL","Key active >365 days created"
"Keys Type RSA/EC","Key","MEDIUM","Created","Created","✅ PASS","EC key allowed (policy allows RSA/EC)"
"Keys RSA Min 2048-bit","Key","MEDIUM","Blocked","Error","⚠️ WARN","Non-policy error"
"Keys EC Curve Names","Key","MEDIUM","Created","Created (P-256)","✅ PASS","P-256 curve allowed"
"Keys HSM-Backed","Key","MEDIUM","Blocked","Requires Premium","⚠️ SKIP","HSM testing requires premium vault tier (expensive)"
"Managed HSM Keys Policy 1","Managed HSM Key","LOW","Blocked","Requires Managed HSM","⚠️ SKIP","Managed HSM testing requires dedicated HSM resource (expensive)"
"Managed HSM Keys Policy 2","Managed HSM Key","LOW","Blocked","Requires Managed HSM","⚠️ SKIP","Managed HSM testing requires dedicated HSM resource (expensive)"
"Managed HSM Keys Policy 3","Managed HSM Key","LOW","Blocked","Requires Managed HSM","⚠️ SKIP","Managed HSM testing requires dedicated HSM resource (expensive)"
"Managed HSM Keys Policy 4","Managed HSM Key","LOW","Blocked","Requires Managed HSM","⚠️ SKIP","Managed HSM testing requires dedicated HSM resource (expensive)"
"Managed HSM Keys Policy 5","Managed HSM Key","LOW","Blocked","Requires Managed HSM","⚠️ SKIP","Managed HSM testing requires dedicated HSM resource (expensive)"
"Secrets Expiration Required","Secret","HIGH","Blocked","Created","❌ FAIL","Secret without expiration created"
"Secrets Max Validity 365 Days","Secret","HIGH","Blocked","Created (400 days)","❌ FAIL","Secret with 400-day validity created"
"Secrets Min 90 Days Before Exp","Secret","HIGH","Blocked","Created (30 days)","❌ FAIL","Secret expiring in <90 days created"
"Secrets Not Active >365 Days","Secret","HIGH","Blocked","Created (400 days active)","❌ FAIL","Secret active >365 days created"
"Secrets Content Type Set","Secret","MEDIUM","Blocked","Created (No Type)","❌ FAIL","Secret without content type created"
"Managed HSM Secrets Policy 1","Managed HSM Secret","LOW","Blocked","Requires Managed HSM","⚠️ SKIP","Managed HSM testing requires dedicated HSM resource (expensive)"
"Managed HSM Secrets Policy 2","Managed HSM Secret","LOW","Blocked","Requires Managed HSM","⚠️ SKIP","Managed HSM testing requires dedicated HSM resource (expensive)"
"Certs Expiration Required","Certificate","MEDIUM","Blocked","Enforced by API","✅ PASS","Azure API enforces cert expiration (cannot create without)"
"Certs Max Validity 12 Months","Certificate","MEDIUM","Blocked","Created (24 months)","❌ FAIL","24-month validity cert created"
"Certs Min 30 Days Before Exp","Certificate","MEDIUM","Blocked","Created (10 days)","❌ FAIL","Cert with <30 days renewal created"
"Certs Lifetime Actions","Certificate","MEDIUM","Blocked","Complex Policy","⚠️ SKIP","Lifetime action testing requires complex cert policy setup"
"Certs Type RSA/EC","Certificate","MEDIUM","Created","Created (EC)","✅ PASS","EC cert allowed"
"Certs RSA Min 4096-bit","Certificate","MEDIUM","Blocked","Created (2048-bit)","❌ FAIL","2048-bit RSA cert created"
"Certs EC Curve Names","Certificate","MEDIUM","Created","Created (P-256)","✅ PASS","P-256 curve allowed"
"Certs Integrated CA","Certificate","MEDIUM","Blocked","Requires CA Setup","⚠️ SKIP","Integrated CA testing requires DigiCert/GlobalSign setup (expensive)"
